-25,-,-30,==,0,-0.0001470,0.0012064,-0.122,0.999996,
-20,-,-30,==,0,0.0006615,0.0012064,0.548,0.993791,
-15,-,-30,==,0,0.0009923,0.0012064,0.823,0.962083,
-10,-,-30,==,0,0.0058434,0.0012064,4.844,0.000155,***
-5,-,-30,==,0,0.0227857,0.0012064,18.887,<,0.0001,***
-20,-,-25,==,0,0.0008085,0.0012064,0.670,0.984480,
-15,-,-25,==,0,0.0011393,0.0012064,0.944,0.932973,
-10,-,-25,==,0,0.0059904,0.0012064,4.966,<,0.0001,***
-5,-,-25,==,0,0.0229327,0.0012064,19.009,<,0.0001,***
-15,-,-20,==,0,0.0003308,0.0012064,0.274,0.999778,
-10,-,-20,==,0,0.0051819,0.0012064,4.295,0.001034,**,
-5,-,-20,==,0,0.0221242,0.0012064,18.339,<,0.0001,***
-10,-,-15,==,0,0.0048512,0.0012064,4.021,0.002416,**,
-5,-,-15,==,0,0.0217935,0.0012064,18.065,<,0.0001,***
-5,-,-10,==,0,0.0169423,0.0012064,14.044,<,0.0001,***
